row,lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,sil_score
4064, 1.40625, 0.0,1.40625, 2.8125,4.21875, 0.0,4.21875, 2.8125, -0.08824898385026032
4065, 1.40625, 2.8125,1.40625, 5.625,4.21875, 2.8125,4.21875, 5.625, -0.09179900112608952
4066, 1.40625, 5.625,1.40625, 8.4375,4.21875, 5.625,4.21875, 8.4375, -0.0824598939949914
4067, 1.40625, 8.4375,1.40625, 11.25,4.21875, 8.4375,4.21875, 11.25, -0.06421873456447974
4068, 1.40625, 11.25,1.40625, 14.0625,4.21875, 11.25,4.21875, 14.0625, -0.08850627368934615
4069, 1.40625, 14.0625,1.40625, 16.875,4.21875, 14.0625,4.21875, 16.875, -0.07708235930673527
4070, 1.40625, 16.875,1.40625, 19.6875,4.21875, 16.875,4.21875, 19.6875, -0.07557207326342494
4071, 1.40625, 19.6875,1.40625, 22.5,4.21875, 19.6875,4.21875, 22.5, -0.06969622476018016
4072, 1.40625, 22.5,1.40625, 25.3125,4.21875, 22.5,4.21875, 25.3125, -0.07574291463910897
4073, 1.40625, 25.3125,1.40625, 28.125,4.21875, 25.3125,4.21875, 28.125, -0.05371127541156864
4074, 1.40625, 28.125,1.40625, 30.9375,4.21875, 28.125,4.21875, 30.9375, -0.06321654591379156
4075, 1.40625, 30.9375,1.40625, 33.75,4.21875, 30.9375,4.21875, 33.75, -0.0785430460645866
4076, 1.40625, 33.75,1.40625, 36.5625,4.21875, 33.75,4.21875, 36.5625, -0.029926387905441134
4077, 1.40625, 36.5625,1.40625, 39.375,4.21875, 36.5625,4.21875, 39.375, -0.03316940678076989
4078, 1.40625, 39.375,1.40625, 42.1875,4.21875, 39.375,4.21875, 42.1875, -0.08295385208686563
4079, 1.40625, 42.1875,1.40625, 45.0,4.21875, 42.1875,4.21875, 45.0, -0.08231585102958218
4080, 1.40625, 45.0,1.40625, 47.8125,4.21875, 45.0,4.21875, 47.8125, -0.1175859674253764
4081, 1.40625, 47.8125,1.40625, 50.625,4.21875, 47.8125,4.21875, 50.625, -0.12782543160821921
4082, 1.40625, 50.625,1.40625, 53.4375,4.21875, 50.625,4.21875, 53.4375, -0.11803295841583783
4083, 1.40625, 53.4375,1.40625, 56.25,4.21875, 53.4375,4.21875, 56.25, -0.10941301116321316
4084, 1.40625, 56.25,1.40625, 59.0625,4.21875, 56.25,4.21875, 59.0625, -0.1022677114943026
4085, 1.40625, 59.0625,1.40625, 61.875,4.21875, 59.0625,4.21875, 61.875, -0.09416057224139439
4086, 1.40625, 61.875,1.40625, 64.6875,4.21875, 61.875,4.21875, 64.6875, -0.08823075834116305
4087, 1.40625, 64.6875,1.40625, 67.5,4.21875, 64.6875,4.21875, 67.5, -0.08789096610706174
4088, 1.40625, 67.5,1.40625, 70.3125,4.21875, 67.5,4.21875, 70.3125, -0.07733878154739338
4089, 1.40625, 70.3125,1.40625, 73.125,4.21875, 70.3125,4.21875, 73.125, -0.06214275796172242
4090, 1.40625, 73.125,1.40625, 75.9375,4.21875, 73.125,4.21875, 75.9375, -0.06530173980702826
4091, 1.40625, 75.9375,1.40625, 78.75,4.21875, 75.9375,4.21875, 78.75, -0.07733320766657516
4092, 1.40625, 78.75,1.40625, 81.5625,4.21875, 78.75,4.21875, 81.5625, -0.07334342040132265
4093, 1.40625, 81.5625,1.40625, 84.375,4.21875, 81.5625,4.21875, 84.375, -0.09747843488071074
4094, 1.40625, 84.375,1.40625, 87.1875,4.21875, 84.375,4.21875, 87.1875, -0.10637054170405591
4095, 1.40625, 87.1875,1.40625, 90.0,4.21875, 87.1875,4.21875, 90.0, -0.10826518033018297
4096, 1.40625, 90.0,1.40625, 92.8125,4.21875, 90.0,4.21875, 92.8125, -0.10326152849795886
4097, 1.40625, 92.8125,1.40625, 95.625,4.21875, 92.8125,4.21875, 95.625, -0.0783811486401072
4098, 1.40625, 95.625,1.40625, 98.4375,4.21875, 95.625,4.21875, 98.4375, -0.048200262903497125
4099, 1.40625, 98.4375,1.40625, 101.25,4.21875, 98.4375,4.21875, 101.25, -0.06604678118360881
4100, 1.40625, 101.25,1.40625, 104.0625,4.21875, 101.25,4.21875, 104.0625, -0.06036418915608456
4101, 1.40625, 104.0625,1.40625, 106.875,4.21875, 104.0625,4.21875, 106.875, -0.06438876840001154
4102, 1.40625, 106.875,1.40625, 109.6875,4.21875, 106.875,4.21875, 109.6875, -0.06803570247961471
4103, 1.40625, 109.6875,1.40625, 112.5,4.21875, 109.6875,4.21875, 112.5, -0.05326285811917822
4104, 1.40625, 112.5,1.40625, 115.3125,4.21875, 112.5,4.21875, 115.3125, -0.05262908215023021
4105, 1.40625, 115.3125,1.40625, 118.125,4.21875, 115.3125,4.21875, 118.125, -0.08725641875811548
4106, 1.40625, 118.125,1.40625, 120.9375,4.21875, 118.125,4.21875, 120.9375, -0.09643659189354407
4107, 1.40625, 120.9375,1.40625, 123.75,4.21875, 120.9375,4.21875, 123.75, -0.11642064313394207
4108, 1.40625, 123.75,1.40625, 126.5625,4.21875, 123.75,4.21875, 126.5625, -0.11652779541729776
4109, 1.40625, 126.5625,1.40625, 129.375,4.21875, 126.5625,4.21875, 129.375, -0.11571110009066754
4110, 1.40625, 129.375,1.40625, 132.1875,4.21875, 129.375,4.21875, 132.1875, -0.11189595051503828
4111, 1.40625, 132.1875,1.40625, 135.0,4.21875, 132.1875,4.21875, 135.0, -0.10280255321326506
4112, 1.40625, 135.0,1.40625, 137.8125,4.21875, 135.0,4.21875, 137.8125, -0.09858648229612885
4113, 1.40625, 137.8125,1.40625, 140.625,4.21875, 137.8125,4.21875, 140.625, -0.09872048765513532
4114, 1.40625, 140.625,1.40625, 143.4375,4.21875, 140.625,4.21875, 143.4375, -0.0772773875957862
4115, 1.40625, 143.4375,1.40625, 146.25,4.21875, 143.4375,4.21875, 146.25, -0.031677891210997476
4116, 1.40625, 146.25,1.40625, 149.0625,4.21875, 146.25,4.21875, 149.0625, -0.0062938744214017395
4117, 1.40625, 149.0625,1.40625, 151.875,4.21875, 149.0625,4.21875, 151.875, -0.015525914997465824
4118, 1.40625, 151.875,1.40625, 154.6875,4.21875, 151.875,4.21875, 154.6875, -0.05118917607035932
4119, 1.40625, 154.6875,1.40625, 157.5,4.21875, 154.6875,4.21875, 157.5, -0.04905540604817767
4120, 1.40625, 157.5,1.40625, 160.3125,4.21875, 157.5,4.21875, 160.3125, -0.058442252670941726
4121, 1.40625, 160.3125,1.40625, 163.125,4.21875, 160.3125,4.21875, 163.125, -0.07232726237415563
4122, 1.40625, 163.125,1.40625, 165.9375,4.21875, 163.125,4.21875, 165.9375, -0.07631626838422169
4123, 1.40625, 165.9375,1.40625, 168.75,4.21875, 165.9375,4.21875, 168.75, -0.08366858835268716
4124, 1.40625, 168.75,1.40625, 171.5625,4.21875, 168.75,4.21875, 171.5625, -0.08387710337716084
4125, 1.40625, 171.5625,1.40625, 174.375,4.21875, 171.5625,4.21875, 174.375, -0.08419437206368041
4126, 1.40625, 174.375,1.40625, 177.1875,4.21875, 174.375,4.21875, 177.1875, -0.07955620649398772
4127, 1.40625, 177.1875,1.40625, 180.0,4.21875, 177.1875,4.21875, 180.0, -0.08568003233696404
4128, 1.40625, 180.0,1.40625, 182.8125,4.21875, 180.0,4.21875, 182.8125, -0.08922424606632424
4129, 1.40625, 182.8125,1.40625, 185.625,4.21875, 182.8125,4.21875, 185.625, -0.08894918634148681
4130, 1.40625, 185.625,1.40625, 188.4375,4.21875, 185.625,4.21875, 188.4375, -0.08492997483548882
4131, 1.40625, 188.4375,1.40625, 191.25,4.21875, 188.4375,4.21875, 191.25, -0.07893433925724848
4132, 1.40625, 191.25,1.40625, 194.0625,4.21875, 191.25,4.21875, 194.0625, -0.0789538801347556
4133, 1.40625, 194.0625,1.40625, 196.875,4.21875, 194.0625,4.21875, 196.875, -0.08872976347022961
4134, 1.40625, 196.875,1.40625, 199.6875,4.21875, 196.875,4.21875, 199.6875, -0.09450453566849731
4135, 1.40625, 199.6875,1.40625, 202.5,4.21875, 199.6875,4.21875, 202.5, -0.10922695209441449
4136, 1.40625, 202.5,1.40625, 205.3125,4.21875, 202.5,4.21875, 205.3125, -0.12445030256925137
4137, 1.40625, 205.3125,1.40625, 208.125,4.21875, 205.3125,4.21875, 208.125, -0.12191528317105607
4138, 1.40625, 208.125,1.40625, 210.9375,4.21875, 208.125,4.21875, 210.9375, -0.12623349128390676
4139, 1.40625, 210.9375,1.40625, 213.75,4.21875, 210.9375,4.21875, 213.75, -0.1388402931251357
4140, 1.40625, 213.75,1.40625, 216.5625,4.21875, 213.75,4.21875, 216.5625, -0.14956640125430815
4141, 1.40625, 216.5625,1.40625, 219.375,4.21875, 216.5625,4.21875, 219.375, -0.15656969172632346
4142, 1.40625, 219.375,1.40625, 222.1875,4.21875, 219.375,4.21875, 222.1875, -0.16282157167063266
4143, 1.40625, 222.1875,1.40625, 225.0,4.21875, 222.1875,4.21875, 225.0, -0.1575125224231343
4144, 1.40625, 225.0,1.40625, 227.8125,4.21875, 225.0,4.21875, 227.8125, -0.13236715704144564
4145, 1.40625, 227.8125,1.40625, 230.625,4.21875, 227.8125,4.21875, 230.625, -0.11728400433397425
4146, 1.40625, 230.625,1.40625, 233.4375,4.21875, 230.625,4.21875, 233.4375, -0.1095378356627394
4147, 1.40625, 233.4375,1.40625, 236.25,4.21875, 233.4375,4.21875, 236.25, -0.09665712646069774
4148, 1.40625, 236.25,1.40625, 239.0625,4.21875, 236.25,4.21875, 239.0625, -0.08331445485171282
4149, 1.40625, 239.0625,1.40625, 241.875,4.21875, 239.0625,4.21875, 241.875, -0.07419923979686655
4150, 1.40625, 241.875,1.40625, 244.6875,4.21875, 241.875,4.21875, 244.6875, -0.06738406904426193
4151, 1.40625, 244.6875,1.40625, 247.5,4.21875, 244.6875,4.21875, 247.5, -0.09113293056911792
4152, 1.40625, 247.5,1.40625, 250.3125,4.21875, 247.5,4.21875, 250.3125, -0.08243555830795533
4153, 1.40625, 250.3125,1.40625, 253.125,4.21875, 250.3125,4.21875, 253.125, -0.08049263363430995
4154, 1.40625, 253.125,1.40625, 255.9375,4.21875, 253.125,4.21875, 255.9375, -0.09289826806340215
