row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
4064, 1.40625, 0.0,1.40625, 2.8125,4.21875, 0.0,4.21875, 2.8125, -0.08643872330689756
4065, 1.40625, 2.8125,1.40625, 5.625,4.21875, 2.8125,4.21875, 5.625, -0.08603937134202372
4066, 1.40625, 5.625,1.40625, 8.4375,4.21875, 5.625,4.21875, 8.4375, -0.08555424911887613
4067, 1.40625, 8.4375,1.40625, 11.25,4.21875, 8.4375,4.21875, 11.25, -0.08503348417162505
4068, 1.40625, 11.25,1.40625, 14.0625,4.21875, 11.25,4.21875, 14.0625, -0.08447864808602243
4069, 1.40625, 14.0625,1.40625, 16.875,4.21875, 14.0625,4.21875, 16.875, -0.0838854668795648
4070, 1.40625, 16.875,1.40625, 19.6875,4.21875, 16.875,4.21875, 19.6875, -0.0832770696923362
4071, 1.40625, 19.6875,1.40625, 22.5,4.21875, 19.6875,4.21875, 22.5, -0.08270939860561018
4072, 1.40625, 22.5,1.40625, 25.3125,4.21875, 22.5,4.21875, 25.3125, -0.08213948449987779
4073, 1.40625, 25.3125,1.40625, 28.125,4.21875, 25.3125,4.21875, 28.125, -0.0815557317664406
4074, 1.40625, 28.125,1.40625, 30.9375,4.21875, 28.125,4.21875, 30.9375, -0.08098991884935436
4075, 1.40625, 30.9375,1.40625, 33.75,4.21875, 30.9375,4.21875, 33.75, -0.08046461786806414
4076, 1.40625, 33.75,1.40625, 36.5625,4.21875, 33.75,4.21875, 36.5625, -0.07994765100965569
4077, 1.40625, 36.5625,1.40625, 39.375,4.21875, 36.5625,4.21875, 39.375, -0.0793997497591671
4078, 1.40625, 39.375,1.40625, 42.1875,4.21875, 39.375,4.21875, 42.1875, -0.07892985451516725
4079, 1.40625, 42.1875,1.40625, 45.0,4.21875, 42.1875,4.21875, 45.0, -0.0788562421313833
4080, 1.40625, 45.0,1.40625, 47.8125,4.21875, 45.0,4.21875, 47.8125, -0.0788646550314467
4081, 1.40625, 47.8125,1.40625, 50.625,4.21875, 47.8125,4.21875, 50.625, -0.07900182101439339
4082, 1.40625, 50.625,1.40625, 53.4375,4.21875, 50.625,4.21875, 53.4375, -0.07926803640877499
4083, 1.40625, 53.4375,1.40625, 56.25,4.21875, 53.4375,4.21875, 56.25, -0.07971587295993679
4084, 1.40625, 56.25,1.40625, 59.0625,4.21875, 56.25,4.21875, 59.0625, -0.08027697038346933
4085, 1.40625, 59.0625,1.40625, 61.875,4.21875, 59.0625,4.21875, 61.875, -0.0808947895017677
4086, 1.40625, 61.875,1.40625, 64.6875,4.21875, 61.875,4.21875, 64.6875, -0.08161838728922378
4087, 1.40625, 64.6875,1.40625, 67.5,4.21875, 64.6875,4.21875, 67.5, -0.08227638669197064
4088, 1.40625, 67.5,1.40625, 70.3125,4.21875, 67.5,4.21875, 70.3125, -0.08272404744131319
4089, 1.40625, 70.3125,1.40625, 73.125,4.21875, 70.3125,4.21875, 73.125, -0.08317322771232276
4090, 1.40625, 73.125,1.40625, 75.9375,4.21875, 73.125,4.21875, 75.9375, -0.08356216845817535
4091, 1.40625, 75.9375,1.40625, 78.75,4.21875, 75.9375,4.21875, 78.75, -0.08385824352866983
4092, 1.40625, 78.75,1.40625, 81.5625,4.21875, 78.75,4.21875, 81.5625, -0.08408794208797661
4093, 1.40625, 81.5625,1.40625, 84.375,4.21875, 81.5625,4.21875, 84.375, -0.08427098131424678
4094, 1.40625, 84.375,1.40625, 87.1875,4.21875, 84.375,4.21875, 87.1875, -0.0845767730591039
4095, 1.40625, 87.1875,1.40625, 90.0,4.21875, 87.1875,4.21875, 90.0, -0.08502417138209817
4096, 1.40625, 90.0,1.40625, 92.8125,4.21875, 90.0,4.21875, 92.8125, -0.08548426299689806
4097, 1.40625, 92.8125,1.40625, 95.625,4.21875, 92.8125,4.21875, 95.625, -0.08594361580865728
4098, 1.40625, 95.625,1.40625, 98.4375,4.21875, 95.625,4.21875, 98.4375, -0.08637919310618157
4099, 1.40625, 98.4375,1.40625, 101.25,4.21875, 98.4375,4.21875, 101.25, -0.0867941780443205
4100, 1.40625, 101.25,1.40625, 104.0625,4.21875, 101.25,4.21875, 104.0625, -0.08720425475195541
